"set_id","card_id","card_name","quantity"
"A1a","1","Nœunœuf","5"
"A1a","2","Noadkoko","2"
"A1a","3","Celebi ex","1"
"A1a","4","Vipélierre","9"
"A1a","5","Lianaja","7"
"A1a","6","Majaspic","2"
"A1a","7","Spododo","5"
"A1a","8","Lampignon","3"
"A1a","9","Sinistrail","5"
"A1a","10","Ponyta","6"
"A1a","11","Galopa","5"
"A1a","12","Magmar","7"
"A1a","13","Pyronille","9"
"A1a","14","Pyrax","2"
"A1a","15","Tritox","2"
"A1a","16","Malamandre","4"
"A1a","17","Magicarpe","5"
"A1a","18","Léviator ex","3"
"A1a","19","Aquali","2"
"A1a","20","Écayon","11"
"A1a","21","Luminéon","4"
"A1a","22","Khélocrok","3"
"A1a","23","Torgamord","3"
"A1a","24","Nigosier","2"
"A1a","25","Pikachu","11"
"A1a","26","Raichu","2"
"A1a","27","Élektek","5"
"A1a","28","Statitik","9"
"A1a","29","Mygavolt","13"
"A1a","30","Dedenne","9"
"A1a","31","Mew","2"
"A1a","32","Mew ex","2"
"A1a","33","Cryptéro","5"
"A1a","34","Lewsor","4"
"A1a","35","Neitram","8"
"A1a","36","Flabébé","6"
"A1a","37","Floette","12"
"A1a","38","Florges","4"
"A1a","39","Sucroquin","10"
"A1a","40","Cupcanaille","15"
"A1a","41","Férosinge","5"
"A1a","42","Colossinge","10"
"A1a","43","Racaillou","9"
"A1a","44","Gravalanch","3"
"A1a","45","Grolem","2"
"A1a","46","Ptéra ex","1"
"A1a","47","Marshadow","1"
"A1a","48","Dolman","4"
"A1a","49","Smogo","6"
"A1a","50","Smogogo","2"
"A1a","51","Chacripan","7"
"A1a","52","Léopardus","6"
"A1a","53","Venipatte","9"
"A1a","54","Scobolide","4"
"A1a","55","Brutapode","9"
"A1a","56","Drakkarmin","3"
"A1a","57","Roucool","12"
"A1a","58","Roucoups","6"
"A1a","59","Roucarnage ex","1"
"A1a","60","Tauros","2"
"A1a","61","Évoli","10"
"A1a","62","Pijako","6"
"A1a","63","Vieil Ambre","9"
"A1a","64","Flûte Pokémon","6"
"A1a","65","Dalle Fabuleuse","4"
"A1a","66","Jeune Explorateur","5"
"A1a","67","Blue","8"
"A1a","68","Leaf","4"
"A1a","69","Noadkoko","2"
"A1a","70","Majaspic","1"
"A1a","71","Tritox","2"
"A1a","72","Aquali","2"
"A1a","73","Dedenne","2"
"A1a","74","Marshadow","3"
"A1a","75","Celebi ex","2"
"A1a","76","Léviator ex","0"
"A1a","77","Mew ex","1"
"A1a","78","Ptéra ex","0"
"A1a","79","Roucarnage ex","0"
"A1a","80","Jeune Explorateur","1"
"A1a","81","Blue","0"
"A1a","82","Leaf","0"
"A1a","83","Mew ex","0"
"A1a","84","Ptéra ex","1"
"A1a","85","Celebi ex","0"
"A1a","86","Mew ex","0"
